country,2019,2020,2021
Afghanistan,76.9,,81.3
Albania,83,,86.2
UAE,51.6,,51.4
Argentina,89.3,,89.4
Armenia,76,,69.7
Australia,80.7,,81.2
Austria,89.4,,89.2
Azerbaijan,69.9,,
Belgium,91.6,,82.3
Benin,69.9,,74
Burkina Faso,78.1,,79.2
Bangladesh,52.1,,61.3
Bulgaria,83.8,,79.2
Bahrain,56.5,,
Bosnia and Herzegovina,90.3,,81.7
Belarus,73,,
Bolivia,89.2,,89.4
Brazil,79.7,,89.8
Botswana,62.9,,
Canada,86.6,,85.9
Switzerland,86.2,,94.8
Chile,95,,93.2
China,58.1,,63.4
Cote d'Ivoire,62.4,,77.5
Cameroon,73.1,,72.5
"Congo, Rep.",67.3,,58.5
Colombia,88.9,,82.4
Costa Rica,92,,85.8
Cyprus,91,,89
Czech Republic,,,87.7
Germany,88.6,,93.8
Denmark,88.4,,84.6
Dominican Republic,73.7,,61.5
Algeria,75.3,,75.8
Ecuador,89.4,,83
Egypt,57,,51.8
Spain,95.1,,94.7
Estonia,78.1,,79.9
Ethiopia,51.2,,
Finland,80.1,,88.8
France,94.7,,93.2
Gabon,73.4,,77.9
UK,88.8,,92.1
Georgia,92.9,,88.8
Ghana,71.4,,71.3
Guinea,75.5,,76.1
Gambia,62.1,,
Greece,97.6,,94.3
Guatemala,75.5,,
"Hong Kong, China",88,,82.4
Honduras,80.2,,69
Croatia,93.6,,91.9
Hungary,95.3,,91.6
Indonesia,56.2,,57.9
India,60.6,,63.9
Ireland,86.2,,91.4
Iran,67.8,,71.2
Iraq,62.4,,63.6
Iceland,,,82.4
Israel,80.7,,73.2
Italy,93.7,,94.7
Jamaica,66.5,,55
Jordan,65.1,,52.4
Japan,94.5,,93.3
Kazakhstan,63.7,,57.8
Kenya,75.3,,74.9
Kyrgyz Republic,72.1,,76
Cambodia,47.6,,61.8
South Korea,94,,92.7
Kuwait,59.2,,
Lao,37.7,,39.6
Lebanon,85.8,,70.4
Liberia,64.8,,
Libya,52.9,,
Sri Lanka,75.6,,82
Lesotho,82.2,,
Lithuania,65.2,,80.4
Luxembourg,90.5,,
Latvia,84.2,,72.6
Morocco,56.3,,54.3
Moldova,78.9,,75.5
Madagascar,78.3,,
Mexico,86.5,,87.2
North Macedonia,91.3,,83.2
Mali,73.5,,77.3
Malta,85.7,,83.4
Myanmar,57.5,,61.2
Montenegro,86.3,,
Mongolia,75.1,,71.8
Mozambique,58.5,,54.6
Mauritania,70.7,,
Mauritius,85.5,,85.3
Malawi,84.5,,
Malaysia,71.7,,79.4
Namibia,79.6,,62.7
Niger,55,,
Nigeria,69.2,,59.8
Nicaragua,78.7,,67.3
Netherlands,80.5,,86.9
Norway,82.9,,88.5
Nepal,47.1,,60.3
New Zealand,81.6,,79.1
Pakistan,76.2,,65.8
Panama,86.6,,77.4
Peru,91.9,,83.4
Philippines,76,,87.3
Poland,86.5,,84.9
Portugal,95.7,,93.6
Paraguay,87,,70.6
Palestine,73.7,,
Romania,87.4,,87.4
Russia,63.1,,67.2
Rwanda,68.8,,
Saudi Arabia,49.3,,29.9
Senegal,77.7,,74.8
Singapore,90.1,,78.9
Sierra Leone,66.5,,73.7
El Salvador,82.5,,71.2
Serbia,89.1,,85.5
Slovak Republic,92.7,,92.2
Slovenia,87.1,,90.1
Sweden,84.7,,89.1
Eswatini,84,,
Chad,70,,
Togo,71.5,,81.2
Thailand,70.7,,80.4
Tajikistan,76.5,,65.9
Turkmenistan,67.6,,
Tunisia,60.5,,63.7
Turkey,77.2,,86.4
Taiwan,95.8,,92
Tanzania,60.1,,55.6
Uganda,72.3,,75.9
Ukraine,79.4,,80.3
Uruguay,90.2,,84.4
USA,71.6,,72.6
Uzbekistan,55,,61.6
Venezuela,84.4,,78.4
Vietnam,83.8,,92.4
Yemen,46.7,,
South Africa,71.2,,65
Zambia,76.5,,66.9
Zimbabwe,77.2,,74.9
